Mission	Site	Month	Year	Lake.area	Xcoord	Ycoord	African.Black.Swift	African.Darter	African.Fish.Eagle	African.Grey.Hornbill	African.Harrier.Hawk	African.Hawk.Eagle	African.Jacana	African.Marsh.Harrier	African.Mourning.Dove	African.Openbill	African.Palm.Swift	African.Pipit	African.Pygmy.goose	African.Quailfinch	African.Red.eyed.Bulbul	African.Reed.Warbler	African.Sacred.Ibis	African.Snipe	African.Spoonbill	Banded.Martin	Barn.Swallow	Bateleur	Black.Crake	Black.Heron	Black.Kite	Black.chested.Prinia	Black.chested.Snake.Eagle	Black.crowned.Night.Heron	Black.faced.Waxbill	Black.headed.Heron	Black.necked.Grebe	Black.tailed.Godwit	Black.winged.Pratincole	Black.winged.Stilt	Blacksmith.Lapwing	Blue.Waxbill	Blue.cheeked.Bee.eater	Booted.Eagle	Brown.Snake.Eagle	Brown.throated.Martin	Burchells.Sandgrouse	Burchells.Starling	Cape.Shoveler	Cape.Sparrow	Cape.Teal	Cape.Turtle.Dove	Capped.Wheatear	Cattle.Egret	Chestnut.backed.Sparrowlark	Chinspot.Batis	Collared.Pratincole	Comb.Duck	Common.Greenshank	Common.House.Martin	Common.Moorhen	Common.Ringed.Plover	Common.Sandpiper	Common.Swift	Coppery.tailed.Coucal	Crimson.breasted.Shrike	Crowned.Lapwing	Curlew.Sandpiper	Diderick.Cuckoo	Dusky.Lark	Dwarf.Bittern	Egyptian.Goose	European.Bee.eater	Fork.tailed.Drongo	Fulvous.Duck	Gabar.Goshawk	Glossy.Ibis	Goliath.Heron	Great.Crested.Grebe	Great.Egret	Great.Reed.Warbler	Great.Sparrow	Great.White.Pelican	Greater.Flamingo	Greater.Painted.snipe	Green.backed.Heron	Green.winged.Pytilia	Grey.Heron	Grey.backed.Camaroptera	Grey.backed.Sparrowlark	Grey.headed.Gull	Grey.headed.Kingfisher	Grey.rumped.Swallow	Hamerkop	Hottentot.Teal	Kalahari.Scrub.Robin	Kittlitzs.Plover	Lanner.Falcon	Laughing.Dove	Lesser.Flamingo	Lesser.Grey.Shrike	Lesser.Jacana	Lesser.Masked.Weaver	Lesser.Moorhen	Lilac.breasted.Roller	Little.Bee.eater	Little.Bittern	Little.Egret	Little.Grebe	Little.Stint	Long.billed.Crombec	Long.crested.Eagle	Long.tailed.Paradise.Whydah	Long.toed.Lapwing	Malachite.Kingfisher	Marabou.Stork	Marico.Flycatcher	Marico.Sunbird	Marsh.Sandpiper	Marsh.Warbler	Martial.Eagle	Namaqua.Dove	Namaqua.Sandgrouse	Pectoral.Sandpiper	Peregrine.Falcon	Pied.Avocet	Pied.Kingfisher	Pied.Starling	Pin.tailed.Whydah	Pink.backed.Pelican	Purple.Heron	Rattling.Cisticola	Red.backed.Shrike	Red.billed.Firefinch	Red.billed.Oxpecker	Red.billed.Quelea	Red.billed.Spurfowl	Red.billed.Teal	Red.capped.Lark	Red.eyed.Dove	Red.faced.Mousebird	Red.headed.Quelea	Red.knobbed.Coot	Reed.Cormorant	Ruff	Saddle.billed.Stork	Sand.Martin	Scaly.feathered.Finch	Scarlet.chested.Sunbird	Sedge.Warbler	Senegal.Coucal	Shaft.tailed.Whydah	Slaty.Egret	Southern.Grey.headed.Sparrow	Southern.Masked.Weaver	Southern.Pale.Chanting.Goshawk	Southern.Pied.Babbler	Southern.Pochard	Southern.Red.Bishop	Spur.winged.Goose	Squacco.Heron	Swainsons.Spurfowl	Tawny.Eagle	Temmincks.Courser	Three.banded.Plover	Wahlbergs.Eagle	Wattled.Crane	Wattled.Starling	Whiskered.Tern	White.Stork	White.backed.Duck	White.backed.Vulture	White.breasted.Cormorant	White.faced.Duck	White.throated.Swallow	White.winged.Tern	Willow.Warbler	Wood.Sandpiper	Woolly.necked.Stork	Yellow.Wagtail	Yellow.bellied.Eremomela	Yellow.billed.Duck	Yellow.billed.Egret	Yellow.billed.Stork	Yellow.crowned.Bishop	Yellow.throated.Longclaw	Zitting.Cisticola
NGA1	11	10	2007	50	-20.43824293	22.81990833	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1.333333333	0	0	0	0	0	0	0	0	0	0	3	0	1	3.333333333	0	5	0	0	1	0	0	0	0	0	0	0	1.333333334	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5.666666666	4.75	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	78	0	0	0	0	1	8.75	0	0	0	0	0	0	0	0	0	0	0	0	0	17.25	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	4	0	2.333333333	0	0	0	0	0	0	1	0	0	0	0
NGA1	12	10	2007	50	-20.43625533	22.82739211	0	3	0	0	0	0	1.666666666	0	0	0	0	0	29.5	0	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1.666666667	0	0	0	0	0	0	1	0	0	8	1.5	0	4	0	0	0	12	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	2	0	0	1.333333333	0	0	0	0	0	0	4	2.5	0	0	1.666666666	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1.666666666	0	0	2.666666667	0	0	0	0	0	0	0	1.666666667	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	6	100.5	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1.5	0	0	0	0	0	0	0	1	0	0	0	0	94	0	3	0	0	0	0	0	0	2	0	0	0	0
NGA1	13	10	2007	50	-20.43257718	22.83128408	0	2	1.666666667	0	0	0	4.25	1	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	2.75	0	0	0	0	0	0	1	0	0	0	1	0	3.5	0	0	0	6	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	3.666666667	0	0	1	0	0	2	0	0	0	0	3.75	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.666666667	0	0	0	0	0	0	14	47	0	0	0	0	0	24.75	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2.333333333	0	0	0	0	0	0	0	1	0	2	0	0	7.666666667	0	4	0	0	0	0	0	0	0	2	0	0	0
NGA2	2	2	2008	30	-20.44868611	22.78945603	2	0	1	0	0	0	2.5	2	0	0	0	0	0	0	0	4	0	0	0	0	10	0	0	1.5	0	2	0	0	0	0	0	1	0	0	4	1.666666666	4.333333333	0	0	1	0	0	0	0	3	5.333333333	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	0	0	1.75	4	0	1.5	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	5.25	0	0	0	9	0	0	0	2	3	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2.000000001	0	0	1	0	0	1	0	0	0	1.333333333	10	0	0	0	0	0	0	4.75	0	0	0	1	1	0	0	0	0	15	0	0	0	0	0	4	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	1.5	3.5	0	0	0	0	1	0	0	0	0
NGA2	3	2	2008	30	-20.45515048	22.77934201	0	0	0	0	0	0	7.25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	2.666666667	0	4	0	0	0	1	0	1	9	0	3.5	0	0	0	0	0	0	0	0	2.333333333	0	1	0	2	0	0	0	0	2.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3.5	0	0	0	0	0	0	0	0	2	0	1.5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	14	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	5.5	0	0	0	0	3	0	0	0	3.25	0	0	0	0	2	9	0	0	0
NGA2	8	2	2008	30	-20.44523679	22.79965983	0	1	0	0	0	0	10.25	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1.5	0	0	0	0	0	0	75	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.666666667	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	1	0	0	0	0	0	0	0	2	1	0	2	0	0	0	8.75	0	0	0	0	0	0	0	0	0	0	0	0	4.25	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	203	3.25	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	20.5	0	0	0	0	3	0	0	0	4	0	1	0	0	0	3	1	0	0
NGA2	9	2	2008	30	-20.44443472	22.80798281	1	2	1	0	0	0	5	0	2	0	0	0	0	0	0	2	0	0	0	0	16	0	1	1	0	2	0	0	0	0	0	0	0	0	4.5	1.5	2.5	0	0	0	0	0	0	0	1	1.333333334	0	0	0	0	0	0	1	0	11.25	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	20	1	0	0	0	1	13.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	13	355.5	2	0	0	0	0	1.5	0	2	0	0	0	0	0	2.5	0	1	0	0	0	0	0	0	0	0	17	0	18.25	0	0	3	0	0	1	3.5	0	0	0	0	1.5	0	3	0	0
NGA2	10	1	2008	30	-20.44115094	22.81334865	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	7	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	0	6	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0
NGA2	10	2	2008	30	-20.43824293	22.81990833	0	1	1	0	0	0	3.666666666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	7.5	0	1	0	0	1	0	0	0	2	8	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1.333333334	0	0	1	0	0	0	0	0	0	0	1.5	0	1	0	0	1	2	11.5	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	19.33333333	0	1	0	0	4	0	0	0	1.333333333	0	1	0	0	1	0	0	0	0
NGA2	11	2	2008	30	-20.43625533	22.82739211	0	3	1	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1.5	0	0	0	0	0	1	0	0	2.5	2	0	0	0	0	0	0	0	0	0	4.666666667	0	0	0	0	0	0	1	0	1.5	0	1	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1.5	0	0	0	0	0	0	0	0	3.333333333	17.5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	2.5	0	1	0	0	0	0	0	7	0	0	0	0	14.5	3.75	4.25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	39.66666666	0	18.75	0	0	2.5	0	0	1	3	0	1	0	2	0	0	1	0	0
